1{'age_gps_data': '0.50', 'easting': 2279607.0956550227, 'latd': 44.56740323166667, 'lat_direction': 'N', 'timestamp': '231441.00', 'lond': 123.27509206833334, 'gps_qual': '2', 'ref_station_id': '0244*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5055241', 'antenna_altitude': '51.239', 'geo_sep': '', 'latitude': '4434.0441939', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.59536806215}
2{'age_gps_data': '0.78', 'easting': 2279607.6427690797, 'latd': 44.567408676666666, 'lat_direction': 'N', 'timestamp': '231605.00', 'lond': 123.27508543833333, 'gps_qual': '2', 'ref_station_id': '0244*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051263', 'antenna_altitude': '51.238', 'geo_sep': '', 'latitude': '4434.0445206', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.18196074571}
3{'age_gps_data': '', 'easting': 2279607.146029936, 'latd': 44.56739764, 'lat_direction': 'N', 'timestamp': '231605.00', 'lond': 123.275091165, 'gps_qual': '1', 'ref_station_id': '*00\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054699', 'antenna_altitude': '52.389', 'geo_sep': '', 'latitude': '4434.0438584', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103876.97193725966}
1{'age_gps_data': '0.77', 'easting': 2279607.2482642103, 'latd': 44.567404563333334, 'lat_direction': 'N', 'timestamp': '231603.00', 'lond': 123.27509021, 'gps_qual': '2', 'ref_station_id': '0244*1E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054126', 'antenna_altitude': '51.351', 'geo_sep': '', 'latitude': '4434.0442738', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.73818307463}
2{'age_gps_data': '0.62', 'easting': 2279607.644766475, 'latd': 44.56740868, 'lat_direction': 'N', 'timestamp': '231606.00', 'lond': 123.27508541333333, 'gps_qual': '2', 'ref_station_id': '0244*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051248', 'antenna_altitude': '51.232', 'geo_sep': '', 'latitude': '4434.0445208', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.18226272147}
3{'age_gps_data': '', 'easting': 2279607.1495640776, 'latd': 44.567397803333336, 'lat_direction': 'N', 'timestamp': '231606.00', 'lond': 123.27509112833333, 'gps_qual': '1', 'ref_station_id': '*04\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054677', 'antenna_altitude': '52.347', 'geo_sep': '', 'latitude': '4434.0438682', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103876.98997575231}
1{'age_gps_data': '0.66', 'easting': 2279607.2237510034, 'latd': 44.56740445, 'lat_direction': 'N', 'timestamp': '231604.00', 'lond': 123.27509051333334, 'gps_qual': '2', 'ref_station_id': '0244*13\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054308', 'antenna_altitude': '51.295', 'geo_sep': '', 'latitude': '4434.0442670', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.72642464098}
2{'age_gps_data': '0.76', 'easting': 2279607.6443898696, 'latd': 44.56740872, 'lat_direction': 'N', 'timestamp': '231607.00', 'lond': 123.27508542, 'gps_qual': '2', 'ref_station_id': '0244*14\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051252', 'antenna_altitude': '51.225', 'geo_sep': '', 'latitude': '4434.0445232', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.18672299478}
1{'age_gps_data': '0.77', 'easting': 2279607.205513687, 'latd': 44.56740435166667, 'lat_direction': 'N', 'timestamp': '231605.00', 'lond': 123.27509073833333, 'gps_qual': '2', 'ref_station_id': '0244*17\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054443', 'antenna_altitude': '51.260', 'geo_sep': '', 'latitude': '4434.0442611', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.7161183022}
3{'age_gps_data': '', 'easting': 2279607.153155463, 'latd': 44.567397981666666, 'lat_direction': 'N', 'timestamp': '231607.00', 'lond': 123.27509109166667, 'gps_qual': '1', 'ref_station_id': '*04\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054655', 'antenna_altitude': '52.281', 'geo_sep': '', 'latitude': '4434.0438789', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.00968002528}
2{'age_gps_data': '0.59', 'easting': 2279607.643237224, 'latd': 44.56740873, 'lat_direction': 'N', 'timestamp': '231608.00', 'lond': 123.275085435, 'gps_qual': '2', 'ref_station_id': '0244*18\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051261', 'antenna_altitude': '51.230', 'geo_sep': '', 'latitude': '4434.0445238', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.18787443358}
3{'age_gps_data': '', 'easting': 2279607.163214899, 'latd': 44.567398086666664, 'lat_direction': 'N', 'timestamp': '231608.00', 'lond': 123.27509097, 'gps_qual': '1', 'ref_station_id': '*02\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054582', 'antenna_altitude': '52.266', 'geo_sep': '', 'latitude': '4434.0438852', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.02100860141}
1{'age_gps_data': '0.53', 'easting': 2279607.191202449, 'latd': 44.567404276666664, 'lat_direction': 'N', 'timestamp': '231606.00', 'lond': 123.275090915, 'gps_qual': '2', 'ref_station_id': '0244*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054549', 'antenna_altitude': '51.225', 'geo_sep': '', 'latitude': '4434.0442566', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.7082713265}
2{'age_gps_data': '0.77', 'easting': 2279607.650271322, 'latd': 44.567408805, 'lat_direction': 'N', 'timestamp': '231609.00', 'lond': 123.27508535, 'gps_qual': '2', 'ref_station_id': '0244*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051210', 'antenna_altitude': '51.218', 'geo_sep': '', 'latitude': '4434.0445283', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.1959714694}
3{'age_gps_data': '', 'easting': 2279607.161857368, 'latd': 44.56739818166667, 'lat_direction': 'N', 'timestamp': '231609.00', 'lond': 123.27509099166667, 'gps_qual': '1', 'ref_station_id': '*0B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054595', 'antenna_altitude': '52.223', 'geo_sep': '', 'latitude': '4434.0438909', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.03161765914}
1{'age_gps_data': '0.76', 'easting': 2279607.1777244923, 'latd': 44.56740424666667, 'lat_direction': 'N', 'timestamp': '231607.00', 'lond': 123.27509108333334, 'gps_qual': '2', 'ref_station_id': '0244*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054650', 'antenna_altitude': '51.196', 'geo_sep': '', 'latitude': '4434.0442548', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.7053989647}
3{'age_gps_data': '', 'easting': 2279607.160297569, 'latd': 44.567398258333334, 'lat_direction': 'N', 'timestamp': '231610.00', 'lond': 123.275091015, 'gps_qual': '1', 'ref_station_id': '*00\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054609', 'antenna_altitude': '52.179', 'geo_sep': '', 'latitude': '4434.0438955', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.04019530956}
2{'age_gps_data': '0.68', 'easting': 2279607.6484113485, 'latd': 44.56740876833334, 'lat_direction': 'N', 'timestamp': '231610.00', 'lond': 123.27508537166666, 'gps_qual': '2', 'ref_station_id': '0244*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051223', 'antenna_altitude': '51.224', 'geo_sep': '', 'latitude': '4434.0445261', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.19195866305}
1{'age_gps_data': '0.54', 'easting': 2279607.1677299053, 'latd': 44.56740419333333, 'lat_direction': 'N', 'timestamp': '231608.00', 'lond': 123.27509120666667, 'gps_qual': '2', 'ref_station_id': '0244*10\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054724', 'antenna_altitude': '51.191', 'geo_sep': '', 'latitude': '4434.0442516', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.69981263019}
2{'age_gps_data': '0.75', 'easting': 2279607.653169457, 'latd': 44.567408801666666, 'lat_direction': 'N', 'timestamp': '231611.00', 'lond': 123.27508531333334, 'gps_qual': '2', 'ref_station_id': '0244*1B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051188', 'antenna_altitude': '51.222', 'geo_sep': '', 'latitude': '4434.0445281', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.19550127257}
3{'age_gps_data': '', 'easting': 2279607.163649769, 'latd': 44.56739844333333, 'lat_direction': 'N', 'timestamp': '231611.00', 'lond': 123.27509098166666, 'gps_qual': '1', 'ref_station_id': '*07\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054589', 'antenna_altitude': '52.138', 'geo_sep': '', 'latitude': '4434.0439066', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.06064902339}
1{'age_gps_data': '0.76', 'easting': 2279607.1658164426, 'latd': 44.56740424666667, 'lat_direction': 'N', 'timestamp': '231609.00', 'lond': 123.27509123333333, 'gps_qual': '2', 'ref_station_id': '0244*15\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054740', 'antenna_altitude': '51.163', 'geo_sep': '', 'latitude': '4434.0442548', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.70580815617}
2{'age_gps_data': '0.57', 'easting': 2279607.651324704, 'latd': 44.567408838333336, 'lat_direction': 'N', 'timestamp': '231612.00', 'lond': 123.27508533833333, 'gps_qual': '2', 'ref_station_id': '0244*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051203', 'antenna_altitude': '51.228', 'geo_sep': '', 'latitude': '4434.0445303', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.19964138232}
3{'age_gps_data': '', 'easting': 2279607.166377321, 'latd': 44.56739860333333, 'lat_direction': 'N', 'timestamp': '231612.00', 'lond': 123.275090955, 'gps_qual': '1', 'ref_station_id': '*03\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054573', 'antenna_altitude': '52.094', 'geo_sep': '', 'latitude': '4434.0439162', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.0783446217}
1{'age_gps_data': '0.51', 'easting': 2279607.159840838, 'latd': 44.56740417166667, 'lat_direction': 'N', 'timestamp': '231610.00', 'lond': 123.275091305, 'gps_qual': '2', 'ref_station_id': '0244*18\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054783', 'antenna_altitude': '51.163', 'geo_sep': '', 'latitude': '4434.0442503', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.69767474849}
2{'age_gps_data': '0.77', 'easting': 2279607.65529019, 'latd': 44.567408906666664, 'lat_direction': 'N', 'timestamp': '231613.00', 'lond': 123.27508529166667, 'gps_qual': '2', 'ref_station_id': '0244*18\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051175', 'antenna_altitude': '51.209', 'geo_sep': '', 'latitude': '4434.0445344', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.2071026424}
3{'age_gps_data': '', 'easting': 2279610.8856626633, 'latd': 44.56741587166667, 'lat_direction': 'N', 'timestamp': '231613.00', 'lond': 123.275044935, 'gps_qual': '1', 'ref_station_id': '*0E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5026961', 'antenna_altitude': '60.501', 'geo_sep': '', 'latitude': '4434.0449523', 'num_sats': '10', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103878.8704912616}
1{'age_gps_data': '0.74', 'easting': 2279607.1596906977, 'latd': 44.56740420166667, 'lat_direction': 'N', 'timestamp': '231611.00', 'lond': 123.27509130833333, 'gps_qual': '2', 'ref_station_id': '0244*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054785', 'antenna_altitude': '51.157', 'geo_sep': '', 'latitude': '4434.0442521', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.70101540536}
2{'age_gps_data': '0.56', 'easting': 2279607.6582837277, 'latd': 44.567408928333336, 'lat_direction': 'N', 'timestamp': '231614.00', 'lond': 123.275085255, 'gps_qual': '2', 'ref_station_id': '0244*13\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051153', 'antenna_altitude': '51.211', 'geo_sep': '', 'latitude': '4434.0445357', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.20940874796}
3{'age_gps_data': '', 'easting': 2279607.1777839516, 'latd': 44.56739885333333, 'lat_direction': 'N', 'timestamp': '231614.00', 'lond': 123.27509082333333, 'gps_qual': '1', 'ref_station_id': '*01\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054494', 'antenna_altitude': '52.040', 'geo_sep': '', 'latitude': '4434.0439312', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.10574847739}
1{'age_gps_data': '0.48', 'easting': 2279607.1572212935, 'latd': 44.56740421333333, 'lat_direction': 'N', 'timestamp': '231612.00', 'lond': 123.27509134, 'gps_qual': '2', 'ref_station_id': '0244*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054804', 'antenna_altitude': '51.159', 'geo_sep': '', 'latitude': '4434.0442528', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.70239739958}
2{'age_gps_data': '0.77', 'easting': 2279607.6579274517, 'latd': 44.567409008333335, 'lat_direction': 'N', 'timestamp': '231615.00', 'lond': 123.27508526333334, 'gps_qual': '2', 'ref_station_id': '0244*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051158', 'antenna_altitude': '51.191', 'geo_sep': '', 'latitude': '4434.0445405', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.2183156535}
3{'age_gps_data': '', 'easting': 2279607.1788907154, 'latd': 44.56739897, 'lat_direction': 'N', 'timestamp': '231615.00', 'lond': 123.275090815, 'gps_qual': '1', 'ref_station_id': '*02\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054489', 'antenna_altitude': '52.012', 'geo_sep': '', 'latitude': '4434.0439382', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.11868182942}
1{'age_gps_data': '0.76', 'easting': 2279607.158835725, 'latd': 44.567404255, 'lat_direction': 'N', 'timestamp': '231613.00', 'lond': 123.27509132166666, 'gps_qual': '2', 'ref_station_id': '0244*19\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054793', 'antenna_altitude': '51.142', 'geo_sep': '', 'latitude': '4434.0442553', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.70697455853}
2{'age_gps_data': '0.62', 'easting': 2279607.6605482446, 'latd': 44.56740900166667, 'lat_direction': 'N', 'timestamp': '231616.00', 'lond': 123.27508523, 'gps_qual': '2', 'ref_station_id': '0244*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051138', 'antenna_altitude': '51.188', 'geo_sep': '', 'latitude': '4434.0445401', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.2174843736}
1{'age_gps_data': '0.56', 'easting': 2279607.1628038245, 'latd': 44.56740422, 'lat_direction': 'N', 'timestamp': '231614.00', 'lond': 123.27509127, 'gps_qual': '2', 'ref_station_id': '0244*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054762', 'antenna_altitude': '51.154', 'geo_sep': '', 'latitude': '4434.0442532', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.7029467905}
3{'age_gps_data': '', 'easting': 2279607.1831424073, 'latd': 44.56739911333333, 'lat_direction': 'N', 'timestamp': '231616.00', 'lond': 123.27509076833333, 'gps_qual': '1', 'ref_station_id': '*03\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054461', 'antenna_altitude': '51.986', 'geo_sep': '', 'latitude': '4434.0439468', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.13447199855}
2{'age_gps_data': '0.75', 'easting': 2279607.6622186643, 'latd': 44.56740902333333, 'lat_direction': 'N', 'timestamp': '231617.00', 'lond': 123.27508521, 'gps_qual': '2', 'ref_station_id': '0244*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051126', 'antenna_altitude': '51.176', 'geo_sep': '', 'latitude': '4434.0445414', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.2198359454}
3{'age_gps_data': '', 'easting': 2279607.188673944, 'latd': 44.56739928, 'lat_direction': 'N', 'timestamp': '231617.00', 'lond': 123.27509070666666, 'gps_qual': '1', 'ref_station_id': '*0B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054424', 'antenna_altitude': '51.943', 'geo_sep': '', 'latitude': '4434.0439568', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.15281246603}
1{'age_gps_data': '0.72', 'easting': 2279607.163064587, 'latd': 44.567404288333336, 'lat_direction': 'N', 'timestamp': '231615.00', 'lond': 123.27509127, 'gps_qual': '2', 'ref_station_id': '0244*15\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054762', 'antenna_altitude': '51.137', 'geo_sep': '', 'latitude': '4434.0442573', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.71053535305}
2{'age_gps_data': '0.63', 'easting': 2279607.6597365425, 'latd': 44.567409031666664, 'lat_direction': 'N', 'timestamp': '231618.00', 'lond': 123.27508524166667, 'gps_qual': '2', 'ref_station_id': '0244*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051145', 'antenna_altitude': '51.178', 'geo_sep': '', 'latitude': '4434.0445419', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.22084776312}
3{'age_gps_data': '', 'easting': 2279607.2020793324, 'latd': 44.567399395, 'lat_direction': 'N', 'timestamp': '231618.00', 'lond': 123.27509054333333, 'gps_qual': '1', 'ref_station_id': '*0B\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054326', 'antenna_altitude': '51.926', 'geo_sep': '', 'latitude': '4434.0439637', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.16513789911}
1{'age_gps_data': '0.53', 'easting': 2279607.164694349, 'latd': 44.56740423, 'lat_direction': 'N', 'timestamp': '231616.00', 'lond': 123.27509124666666, 'gps_qual': '2', 'ref_station_id': '0244*11\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054748', 'antenna_altitude': '51.143', 'geo_sep': '', 'latitude': '4434.0442538', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.7039936604}
2{'age_gps_data': '0.77', 'easting': 2279607.662144843, 'latd': 44.56740907333333, 'lat_direction': 'N', 'timestamp': '231619.00', 'lond': 123.27508521333333, 'gps_qual': '2', 'ref_station_id': '0244*12\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051128', 'antenna_altitude': '51.163', 'geo_sep': '', 'latitude': '4434.0445444', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.2253976427}
3{'age_gps_data': '', 'easting': 2279607.202787912, 'latd': 44.567399476666665, 'lat_direction': 'N', 'timestamp': '231619.00', 'lond': 123.27509053833333, 'gps_qual': '1', 'ref_station_id': '*09\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054323', 'antenna_altitude': '51.881', 'geo_sep': '', 'latitude': '4434.0439686', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.17419351824}
1{'age_gps_data': '0.74', 'easting': 2279607.1662184894, 'latd': 44.56740421333333, 'lat_direction': 'N', 'timestamp': '231617.00', 'lond': 123.27509122666666, 'gps_qual': '2', 'ref_station_id': '0244*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054736', 'antenna_altitude': '51.142', 'geo_sep': '', 'latitude': '4434.0442528', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.70208823308}
2{'age_gps_data': '0.69', 'easting': 2279607.6605392722, 'latd': 44.56740910333333, 'lat_direction': 'N', 'timestamp': '231620.00', 'lond': 123.275085235, 'gps_qual': '2', 'ref_station_id': '0244*1F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5051141', 'antenna_altitude': '51.153', 'geo_sep': '', 'latitude': '4434.0445462', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103878.22878831252}
3{'age_gps_data': '', 'easting': 2279607.2012662687, 'latd': 44.56739956333333, 'lat_direction': 'N', 'timestamp': '231620.00', 'lond': 123.27509056166667, 'gps_qual': '1', 'ref_station_id': '*0F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054337', 'antenna_altitude': '51.840', 'geo_sep': '', 'latitude': '4434.0439738', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.18388168886}
1{'age_gps_data': '0.52', 'easting': 2279607.165644721, 'latd': 44.56740420166667, 'lat_direction': 'N', 'timestamp': '231618.00', 'lond': 123.27509123333333, 'gps_qual': '2', 'ref_station_id': '0244*15\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054740', 'antenna_altitude': '51.148', 'geo_sep': '', 'latitude': '4434.0442521', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.70081080962}
2{'age_gps_data': '', 'easting': 2279612.3499867087, 'latd': 44.567432315, 'lat_direction': 'N', 'timestamp': '231621.00', 'lond': 123.27502728, 'gps_qual': '1', 'ref_station_id': '*06\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5016368', 'antenna_altitude': '56.886', 'geo_sep': '', 'latitude': '4434.0459389', 'num_sats': '09', 'horizontal_dil': '1.1', 'altitude_units': 'M', 'northing': 103880.6483978713}
3{'age_gps_data': '', 'easting': 2279607.2065141047, 'latd': 44.567399725, 'lat_direction': 'N', 'timestamp': '231621.00', 'lond': 123.27509050333333, 'gps_qual': '1', 'ref_station_id': '*08\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054302', 'antenna_altitude': '51.806', 'geo_sep': '', 'latitude': '4434.0439835', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.2016759878}
1{'age_gps_data': '0.75', 'easting': 2279607.167037799, 'latd': 44.56740422, 'lat_direction': 'N', 'timestamp': '231619.00', 'lond': 123.27509121666667, 'gps_qual': '2', 'ref_station_id': '0244*1C\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054730', 'antenna_altitude': '51.137', 'geo_sep': '', 'latitude': '4434.0442532', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.70280130021}
2{'age_gps_data': '', 'easting': 2279614.772338397, 'latd': 44.56744233333333, 'lat_direction': 'N', 'timestamp': '231622.00', 'lond': 123.27499724833334, 'gps_qual': '1', 'ref_station_id': '*06\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.4998349', 'antenna_altitude': '63.117', 'geo_sep': '', 'latitude': '4434.0465400', 'num_sats': '09', 'horizontal_dil': '1.1', 'altitude_units': 'M', 'northing': 103881.67903304659}
3{'age_gps_data': '', 'easting': 2279607.206279918, 'latd': 44.567399871666666, 'lat_direction': 'N', 'timestamp': '231622.00', 'lond': 123.27509051333334, 'gps_qual': '1', 'ref_station_id': '*03\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054308', 'antenna_altitude': '51.749', 'geo_sep': '', 'latitude': '4434.0439923', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.21799091622}
1{'age_gps_data': '0.52', 'easting': 2279607.165569649, 'latd': 44.56740421666667, 'lat_direction': 'N', 'timestamp': '231620.00', 'lond': 123.275091235, 'gps_qual': '2', 'ref_station_id': '0244*18\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054741', 'antenna_altitude': '51.138', 'geo_sep': '', 'latitude': '4434.0442530', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.70248113852}
2{'age_gps_data': '', 'easting': 2279612.397641703, 'latd': 44.567432425, 'lat_direction': 'N', 'timestamp': '231623.00', 'lond': 123.275026685, 'gps_qual': '1', 'ref_station_id': '*0F\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5016011', 'antenna_altitude': '57.070', 'geo_sep': '', 'latitude': '4434.0459455', 'num_sats': '09', 'horizontal_dil': '1.1', 'altitude_units': 'M', 'northing': 103880.65899052192}
3{'age_gps_data': '', 'easting': 2279607.223262833, 'latd': 44.567399953333336, 'lat_direction': 'N', 'timestamp': '231623.00', 'lond': 123.27509030333333, 'gps_qual': '1', 'ref_station_id': '*0E\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054182', 'antenna_altitude': '51.741', 'geo_sep': '', 'latitude': '4434.0439972', 'num_sats': '09', 'horizontal_dil': '1.0', 'altitude_units': 'M', 'northing': 103877.22648730595}
1{'age_gps_data': '0.66', 'easting': 2279607.168171361, 'latd': 44.567404205, 'lat_direction': 'N', 'timestamp': '231621.00', 'lond': 123.27509120166667, 'gps_qual': '2', 'ref_station_id': '0244*1A\r\n', 'geo_sep_units': '', 'lon_direction': 'W', 'longitude': '12316.5054721', 'antenna_altitude': '51.129', 'geo_sep': '', 'latitude': '4434.0442523', 'num_sats': '04', 'horizontal_dil': '1.7', 'altitude_units': 'M', 'northing': 103877.70109459944}
